partition,categories,n_candidates,n_selected,mean_category_score,pct_label_confident,pct_correct_orig
shortcut,"A, E, H",46,46,0.5725,0.6304,0.4565
nuanced,"B, C, D, F",93,50,0.9107,1.0,0.44
