u_id,subset,true_country,p_clean,p_corrupted,degradation,vis_start,vis_end,recovery_L1,recovery_L2,recovery_L3,recovery_L4,recovery_L5,recovery_L6,recovery_L7,recovery_L8,recovery_L9,recovery_L10,recovery_L11,recovery_L12,recovery_L13,recovery_L14,recovery_L15,recovery_L16,recovery_L17,recovery_L18,recovery_L19,recovery_L20,recovery_L21,recovery_L22,recovery_L23,recovery_L24,recovery_L25,recovery_L26,recovery_L27,recovery_L28,recovery_L29,recovery_L30,recovery_L31,recovery_L32,peak_recovery_layer,peak_recovery_value,mean_recovery
31824d6c-cdda-43df-9792-17cb3f44217d,nuanced,Nigeria,0.03798,0.02472,0.01326,5,1855,0.0145,0.01361,0.01482,0.01423,0.01553,0.01445,0.01451,0.01441,0.01414,0.01389,0.0144,0.01129,0.01296,0.0128,0.01015,0.00847,0.00638,0.00556,-0.00112,-0.00064,-7e-05,-0.00039,-0.00046,-0.00066,-0.00207,-0.00213,-0.00269,-0.00222,-0.00119,-0.00016,-8e-05,0.0,5,0.01553,0.00663
fdd8ea6d-e848-4b9c-af83-8e1ad010ef1e,nuanced,Canada,0.07252,0.08218,-0.00966,5,2933,-0.00718,-0.01022,-0.00928,-0.00896,-0.00792,-0.01233,-0.01305,-0.01623,-0.01961,-0.02147,-0.01677,-0.01274,-0.01206,-0.01352,-0.0057,-0.00997,-0.00424,-0.00116,-0.00362,-0.00643,-0.0088,-0.00792,-0.00734,-0.00518,-0.00565,-0.00376,-0.00199,-0.00167,-0.00183,0.00612,0.0046,0.0,30,0.00612,-0.00768
e43999fc-df28-41f1-982f-64a51d79acb7,nuanced,Turkey,0.0162,0.01118,0.00502,5,2149,0.00518,0.00505,0.00501,0.0054,0.00508,0.00515,0.0043,0.00489,0.00563,0.0056,0.00625,0.00606,0.00641,0.0055,0.00571,0.00464,0.0029,0.00272,0.00365,0.00298,0.00171,0.00171,0.0017,0.00132,0.00035,0.00054,0.0006,0.00084,-0.00015,0.00014,0.00018,0.0,13,0.00641,0.00335
75a71390-5aea-4c53-957a-a6e71b746fa3,nuanced,Iran,0.01191,0.0189,-0.00699,5,1469,-0.00738,-0.00729,-0.00759,-0.00674,-0.00642,-0.00627,-0.00671,-0.00594,-0.0063,-0.00527,-0.00518,-0.00388,-0.0036,-0.00349,-0.00485,-0.00393,-0.00426,-0.00412,-0.0027,-0.00109,-0.00159,-0.00099,-0.00133,-0.00064,0.00081,0.00079,0.00171,0.00142,0.00113,-0.00026,-0.00038,0.0,27,0.00171,-0.0032
7469bf5a-e55b-4077-8c23-4f80be8daa32,nuanced,China,0.45722,0.29476,0.16246,5,1517,0.17759,0.17646,0.17304,0.18256,0.16429,0.17735,0.1719,0.15372,0.15583,0.17154,0.16408,0.14779,0.09934,0.07874,0.07619,0.06211,0.06007,0.0698,0.03996,0.03412,0.02513,0.02351,0.02282,0.02824,0.00202,0.01435,0.0018,0.00057,0.00357,-0.00774,-0.01309,0.0,4,0.18256,0.08243
6a8d47c3-55db-4f2d-b7e0-6c25b6a268c8,nuanced,India,0.83508,0.59329,0.24179,5,989,0.2389,0.23396,0.24439,0.23872,0.2279,0.23101,0.23661,0.21595,0.20753,0.21492,0.21443,0.23617,0.23184,0.23854,0.23327,0.23305,0.21632,0.19812,0.14319,0.08824,0.08645,0.07892,0.06937,0.07185,0.00514,0.00239,0.00513,0.00425,0.00234,0.00782,0.00964,0.0,3,0.24439,0.14582
e2af3f45-8230-49e5-9fb2-19c8b42b9816,nuanced,Turkey,0.06304,0.0407,0.02234,5,2345,0.02487,0.01819,0.0202,0.02115,0.01828,0.01812,0.01506,0.01896,0.01676,0.01366,0.01348,0.01141,0.00683,0.00576,0.00469,0.00851,0.00363,0.00452,-0.00014,-0.00067,0.00084,0.00037,0.00034,0.00069,-0.00219,-0.00183,0.00418,0.00294,0.00032,-0.00015,-0.0001,0.0,1,0.02487,0.00777
8c973562-db40-4319-9dd5-51d83c7f910e,nuanced,Germany,0.61262,0.35553,0.25708,5,1373,0.25457,0.25559,0.26033,0.24046,0.24637,0.22841,0.21332,0.19723,0.16249,0.15608,0.11823,0.08925,0.08866,0.08683,0.05906,0.02315,-0.00988,-0.01398,-0.02033,-0.01126,-0.03392,-0.02961,-0.029,-0.03705,-0.04716,-0.04147,-0.03643,-0.04803,-0.0335,-0.01976,-0.00437,0.0,3,0.26033,0.07076
4048bef4-586f-466a-8f53-3a1332979fcd,nuanced,India,0.30834,0.34873,-0.04038,5,2149,-0.04609,-0.04054,-0.04831,-0.0493,-0.04587,-0.03425,-0.02866,-0.02968,-0.01808,-0.07222,-0.07592,-0.08649,-0.07877,-0.0669,-0.05124,-0.03767,-0.04312,-0.04249,-0.0644,-0.04251,-0.02957,-0.03015,-0.02921,-0.02951,-0.02244,-0.02698,0.00659,0.00932,0.01226,0.01369,0.0218,0.0,31,0.0218,-0.03458
6e72fc43-14d2-40a5-863c-62d14dc5facb,nuanced,Nigeria,0.09676,0.08401,0.01275,5,2149,0.01365,0.0151,0.0192,0.01803,0.01573,0.01193,0.00935,0.01676,0.01311,0.0035,0.01089,0.00391,0.01351,0.00993,0.01364,0.01935,0.02102,0.02596,0.01946,0.01756,0.015,0.01758,0.01517,0.01513,0.00011,0.00369,0.00487,0.0047,0.00365,-0.00387,-0.00217,0.0,18,0.02596,0.01142
c717f3a6-7b14-4f61-b395-89d63b0c6e73,nuanced,Nigeria,0.18029,0.12574,0.05455,5,1181,0.04788,0.05647,0.0548,0.04448,0.04482,0.0389,0.04524,0.05715,0.04705,0.0474,0.04796,0.04102,0.04051,0.03905,0.03915,0.03472,0.03906,0.03086,0.0091,0.00673,0.00705,0.0152,0.01406,0.01398,-0.00781,-0.00585,-0.00172,-0.00224,-0.00193,-0.00477,-0.00473,0.0,8,0.05715,0.02605
9ace2f1e-6a06-45ba-bed9-46ac3b80b038,nuanced,Nigeria,0.00601,0.00964,-0.00364,5,2149,-0.00363,-0.0037,-0.00346,-0.00369,-0.00344,-0.00378,-0.00372,-0.00354,-0.00335,-0.00362,-0.00363,-0.00359,-0.00284,-0.00258,-0.00262,-0.00271,-0.00297,-0.00276,-0.00127,0.00059,-0.00084,-0.00046,-0.00034,-6e-05,-0.00069,-0.00059,-0.00042,0.00025,-0.00077,-0.00057,-0.00048,0.0,20,0.00059,-0.00204
606aeda1-a002-4666-9cc2-c54b4af0a436,nuanced,Germany,0.59173,0.25159,0.34014,5,2345,0.33763,0.31718,0.32684,0.32564,0.34134,0.33202,0.32414,0.30606,0.30549,0.26629,0.25303,0.19939,0.18676,0.14302,0.11489,0.0844,0.03234,0.02731,0.03068,0.01992,0.01768,0.0115,0.01693,0.01185,0.01653,0.01724,-0.00447,0.00625,-0.0034,-0.00059,-0.00057,0.0,5,0.34134,0.13635
535f44c0-e569-40b7-9b05-2ab1ef0f8368,nuanced,Ethiopia,0.56493,0.20434,0.36059,5,2149,0.36941,0.36637,0.36517,0.37089,0.36599,0.36026,0.36874,0.34608,0.33646,0.33709,0.29223,0.29223,0.25265,0.25212,0.25191,0.22761,0.22013,0.22004,0.16194,0.10677,0.07852,0.09559,0.09649,0.08349,0.03563,0.02546,0.0271,0.03059,0.03026,0.0173,0.00548,0.0,4,0.37089,0.19969
ac9a3d5c-63dd-4fbd-9676-9f913f4029f3,nuanced,India,0.99133,0.9533,0.03803,5,1431,0.03769,0.0375,0.03801,0.03766,0.03736,0.03623,0.03728,0.03741,0.03799,0.03714,0.03641,0.03567,0.03331,0.03368,0.03283,0.03177,0.02587,0.02617,0.01939,0.00747,0.00878,0.00763,0.00825,0.00986,-0.00071,-0.00176,0.00213,0.00193,0.00164,0.00153,0.00169,0.0,3,0.03801,0.02181
4455c508-07a5-483c-a247-92904d635fee,nuanced,USA,0.06817,0.05218,0.01599,5,1659,0.01805,0.016,0.0179,0.01912,0.01616,0.01205,0.0131,0.01366,0.01032,0.00814,0.01163,0.01052,0.00278,0.00409,0.00258,0.00678,0.00839,0.01215,0.00874,0.00716,0.00422,0.00737,0.00822,0.00908,0.00298,0.00325,0.00338,0.00282,0.00061,-0.00155,-0.00074,0.0,4,0.01912,0.00809
7174dc33-dbe6-4c70-a3ef-ae0be8ab6b29,nuanced,Canada,0.02841,0.0521,-0.02369,5,2443,-0.02294,-0.02327,-0.02326,-0.02327,-0.02403,-0.02416,-0.02461,-0.02339,-0.02246,-0.02431,-0.02655,-0.02528,-0.02349,-0.02091,-0.01793,-0.01925,-0.01625,-0.01676,-0.01169,0.00101,-0.00369,0.0001,0.00081,0.00086,0.00141,0.00098,0.00115,0.00108,-0.00322,0.0007,0.00025,0.0,25,0.00141,-0.01289
6653f8dd-3fff-48a3-8e29-065917a610b0,nuanced,Ethiopia,0.57408,0.30862,0.26546,5,2149,0.25214,0.25217,0.25295,0.25672,0.26437,0.26501,0.25127,0.24615,0.24624,0.25615,0.24431,0.2408,0.22471,0.22393,0.18782,0.16586,0.1565,0.15158,0.14415,0.13648,0.1171,0.12169,0.10567,0.1183,0.08868,0.07262,0.05965,0.04187,0.0519,0.02475,0.00962,0.0,6,0.26501,0.16347
6ec6b59a-9126-4462-89ee-df55d996f4ab,nuanced,India,0.73858,0.48158,0.257,5,1325,0.26216,0.25443,0.26083,0.24994,0.24787,0.2507,0.24787,0.25981,0.25673,0.27037,0.26293,0.24476,0.2495,0.26116,0.26666,0.22277,0.21355,0.19394,0.13417,0.03557,0.0318,0.0302,0.04423,0.03755,0.02593,0.01177,0.01568,0.01509,0.02382,0.0218,0.02216,0.0,10,0.27037,0.15393
22bb7d28-bb29-4a85-af25-85f66ce70d52,nuanced,China,0.86257,0.45106,0.41151,5,1481,0.40428,0.40249,0.39661,0.39764,0.39197,0.38282,0.38055,0.39162,0.3868,0.395,0.39416,0.39589,0.3573,0.34869,0.33847,0.30071,0.27563,0.28675,0.20541,0.15388,0.15473,0.15411,0.14082,0.15513,0.01532,0.02546,0.02491,0.02453,0.01904,-0.01161,0.00502,0.0,1,0.40428,0.24044
