subset,transition_after_layer,cka_value
all,14,0.9811265287301142
all,20,0.9855607428366443
all,25,0.9971409444373223
shortcut,14,0.9887201346213694
shortcut,20,0.9916366546435045
shortcut,27,0.9978764124975995
nuanced,14,0.9814379802236669
nuanced,20,0.9874026935435595
nuanced,25,0.99766281254309
