layer,head,mean_importance,imp_shortcut,imp_nuanced
6,1,2.607435,3.206002,2.630144
6,6,2.596056,3.213196,2.569588
6,7,2.595193,3.206451,2.596935
6,26,2.586516,3.188584,2.582119
6,32,2.586382,3.206405,2.58102
6,24,2.579756,3.200106,2.595813
6,17,2.577735,3.165056,2.566739
6,27,2.577485,3.185258,2.594362
6,4,2.576545,3.169047,2.577468
6,25,2.571982,3.154065,2.543371
6,28,2.571469,3.165901,2.589326
6,30,2.564684,3.171165,2.559841
6,23,2.562059,3.163062,2.563264
6,8,2.55543,3.149154,2.542089
6,18,2.5537,3.157382,2.557698
6,15,2.549051,3.148179,2.546603
6,3,2.543647,3.152747,2.542695
6,20,2.540038,3.116127,2.554589
6,10,2.534906,3.104444,2.524123
6,5,2.527371,3.120034,2.525297
6,11,2.524667,3.13028,2.519709
6,19,2.521016,3.104416,2.535882
6,14,2.519192,3.118192,2.515851
6,9,2.519156,3.108579,2.508922
6,22,2.507324,3.097623,2.508474
7,12,2.499284,3.05083,2.533802
7,2,2.461457,3.022928,2.466371
7,16,2.402791,2.933914,2.406966
7,29,2.348367,2.900128,2.340239
7,1,2.345231,2.877517,2.36639
7,21,2.344361,2.886375,2.36767
7,13,2.33764,2.877884,2.340903
7,26,2.337175,2.870867,2.32993
7,7,2.336251,2.87315,2.344371
7,31,2.332317,2.853049,2.348496
7,25,2.321767,2.83235,2.321427
7,24,2.312779,2.866763,2.311614
7,6,2.311396,2.860684,2.305092
7,10,2.307545,2.819097,2.303015
7,32,2.30262,2.85021,2.292313
7,28,2.301039,2.827355,2.326354
7,18,2.292397,2.82102,2.284216
7,3,2.291973,2.830616,2.286478
7,17,2.291972,2.806901,2.282094
7,14,2.283858,2.80661,2.287913
7,5,2.27961,2.822112,2.268944
7,30,2.279216,2.806907,2.275918
7,15,2.277895,2.817221,2.26865
7,19,2.277502,2.807021,2.284733
7,23,2.27522,2.794209,2.275964
7,4,2.26862,2.779743,2.280234
7,20,2.268619,2.780227,2.28103
7,27,2.266962,2.796903,2.273333
7,11,2.262393,2.772911,2.257259
7,9,2.25968,2.784275,2.265806
8,12,2.258465,2.782106,2.268232
7,8,2.25443,2.782749,2.241184
8,16,2.253645,2.741318,2.258007
7,22,2.229459,2.738932,2.236397
8,2,2.207994,2.730689,2.195876
8,1,2.202648,2.701191,2.226181
8,25,2.188993,2.659787,2.183095
