u_id,true_country,facet,is_shortcut,is_nuanced,commitment_layer,committed,prob_at_commit,prob_at_layer_8,prob_at_layer_30,prob_final,rank_final
035e6a4b-1414-44d6-8b17-8bac0bb64a42,Brazil,drink,False,False,1,True,0.11156360805034637,0.1798972487449646,0.5542352795600891,0.6133078932762146,0
daef26fc-191a-476a-a883-66c9dad9f963,Brazil,drink,True,False,33,False,0.0,0.13223809003829956,0.016906622797250748,0.01539002824574709,5
f8d29900-ef57-4a37-93ee-d6596f54b8b0,Brazil,drink,False,False,1,True,0.12195276468992233,0.2104686200618744,0.9961035251617432,0.9899536371231079,0
449dd4e6-c146-4c46-a36f-506b0669f056,Brazil,drink,True,False,33,False,0.0,0.16059091687202454,0.06753135472536087,0.02092849090695381,6
b6a921ff-8d0c-41e1-8a6a-f9f1068693ee,Brazil,drink,True,False,1,True,0.13234755396842957,0.17486383020877838,0.619526743888855,0.6494606733322144,0
7b652a5a-c293-42d8-9245-c3e1556636c1,Rwanda,clothing,False,False,31,True,0.14823848009109497,0.02309231460094452,0.01718136854469776,0.029860341921448708,4
a13fc28b-003a-4e28-8850-905313634459,Rwanda,clothing,False,False,30,True,0.010291974991559982,0.015162062831223011,0.010291974991559982,0.014030910097062588,4
693a728d-e9d9-4d50-a6c8-c38a7d8dce35,Rwanda,clothing,False,False,33,False,0.0,0.0175935048609972,0.0122966468334198,0.024513263255357742,6
843b1217-b7f6-4c73-9d38-0eac63bf6f28,Rwanda,clothing,True,False,33,False,0.0,0.01399839948862791,0.009161921218037605,0.016239147633314133,7
2a57f463-0a45-4852-9a58-acbf91395812,Rwanda,clothing,True,False,31,True,0.15973946452140808,0.012500368990004063,0.021231696009635925,0.05596836283802986,3
3fd7af11-b663-486b-a962-16c72d01e706,Rwanda,traditions,False,False,33,False,0.0,0.018517861142754555,0.009723094291985035,0.012348088435828686,9
a952f9e8-5281-4661-950e-ffbf264a69f2,Rwanda,traditions,True,False,33,False,0.0,0.01717698574066162,0.03565283119678497,0.058935120701789856,5
d83a91b8-849b-4f7f-8c8e-168734417cd3,Rwanda,traditions,False,False,33,False,0.0,0.014890327118337154,0.0010996484197676182,0.0026258036959916353,7
ae3e7c2c-7bd7-4086-93d8-14c1f86a3184,Rwanda,traditions,False,True,33,False,0.0,0.016449466347694397,0.003409214084967971,0.0015790365869179368,7
03e3c931-426c-454a-a977-1805f7c65f15,Rwanda,traditions,False,False,33,False,0.0,0.01696603186428547,0.023633118718862534,0.026072558015584946,7
2ee2ff8e-8560-4eb9-b869-6ba468258201,Rwanda,food,False,False,33,False,0.0,0.01646122895181179,0.003374381922185421,0.011134696193039417,9
b0cbe990-43cc-45a9-9f98-ab8a0a38fe64,Rwanda,food,False,False,33,False,0.0,0.019212311133742332,0.011438820511102676,0.010342623107135296,7
ab6ac2e8-bdfc-452f-8119-914e40e8b151,Rwanda,food,False,False,30,True,0.025475503876805305,0.016503548249602318,0.025475503876805305,0.029458390548825264,4
16ff40c1-2e0d-4207-992b-7ff20edf427a,Rwanda,food,False,False,33,False,0.0,0.018216976895928383,0.006593330297619104,0.005806922912597656,10
eed6d393-d438-4d10-8782-d5443e9342be,Rwanda,food,False,False,33,False,0.0,0.014994170516729355,0.01570679433643818,0.017738237977027893,7
e46d024b-8bdb-46d2-ad2b-d5dd20831693,Rwanda,drink,False,False,33,False,0.0,0.016991110518574715,0.006673531141132116,0.029278116300702095,5
b6b1e4ca-d9e8-4d54-a292-82c2bf818d3b,Rwanda,drink,False,False,31,True,0.20951133966445923,0.01960621029138565,0.025433043017983437,0.07541836053133011,4
7fa37c8c-5b74-4898-ba37-a0c2933cdb03,Rwanda,drink,False,False,33,False,0.0,0.015098165720701218,0.005248775240033865,0.00637149577960372,9
a8e28ea4-0eac-497a-b894-1e682ef66e8e,Rwanda,drink,False,False,33,False,0.0,0.016028709709644318,0.002782209310680628,0.005390047095716,9
