Model,n_correct,n_wrong,mean_correct,mean_wrong,delta,t_stat,p_value,significant
CLIP,158,108,0.161,0.1489,0.0121,0.651,0.5158,—
LLaVA,99,166,0.1436,0.0967,0.0469,2.695,0.0075,✅
Qwen2-VL,161,98,0.0778,0.1602,-0.0823,-4.828,0.0,✅
InternVL2,126,139,0.1062,0.053,0.0532,3.608,0.0004,✅
