Model,CLIP,Qwen2-VL,InternVL2,LLaVA
CLIP,100.0,57.9,48.1,40.2
Qwen2-VL,57.9,100.0,54.9,39.8
InternVL2,48.1,54.9,100.0,53.0
LLaVA,40.2,39.8,53.0,100.0
