Model,Mean (correct),Mean (wrong),Mean (all),Std (all),Min,Max,% conf > 0.5
CLIP,0.7776,0.4178,0.6315,0.2892,0.1375,0.9996,60.9
Qwen2-VL,0.8764,0.57,0.7555,0.2577,0.0,0.9997,80.5
InternVL2,0.5986,0.2814,0.4317,0.3622,0.0,0.9939,43.6
LLaVA,0.5552,0.3198,0.4074,0.2356,0.0,0.9982,25.2
