u_id,model,rho_mean_vs_black,pval_mean_vs_black,rho_mean_vs_noise,pval_mean_vs_noise,rho_black_vs_noise,pval_black_vs_noise,mean_rho
acd68d0e-9d10-40ef-9fd1-cbdc720808ef,clip,0.5143,0.0002,0.3707,0.0087,0.1601,0.2718,0.3484
591a4da1-0a04-4dc6-ba4e-a3526dbce1c6,clip,0.7488,0.0,0.6851,0.0,0.7844,0.0,0.7394
bfa7333e-1ab0-4ebc-b11c-d7c0cc5a9e8c,clip,0.594,0.0,0.3862,0.0061,0.4629,0.0008,0.481
87161e09-edf6-46a7-acf4-1d2ba9f61348,clip,0.6826,0.0,0.0497,0.7345,-0.056,0.7022,0.2254
31824d6c-cdda-43df-9792-17cb3f44217d,clip,0.7659,0.0,0.2813,0.0503,0.2604,0.0708,0.4358
7409a04b-e4e0-48a6-83aa-9ea94eeb78da,clip,0.8623,0.0,0.0209,0.8864,0.1379,0.3445,0.3404
a2ccb005-d747-43f8-8315-2518a1ece07d,clip,0.6041,0.0,0.3927,0.0053,0.2944,0.04,0.4304
bb027c12-2666-421b-a523-4bd7c4c30f20,clip,0.8513,0.0,0.7188,0.0,0.7855,0.0,0.7852
4713f5b0-48da-4ab5-99bc-ffe12d7d62fa,clip,0.4489,0.0012,0.4321,0.0019,0.4626,0.0008,0.4479
98b439d0-91bc-40ba-8d77-ec2889c96666,clip,0.5064,0.0002,-0.094,0.5207,0.1456,0.3181,0.186
4457fdf9-a623-41bd-8a0d-fd42128f38b3,clip,0.4399,0.0016,0.2684,0.0622,0.8043,0.0,0.5042
2c1bd295-9cde-47af-af0e-202c03272d01,clip,0.6124,0.0,0.5408,0.0001,0.484,0.0004,0.5457
da343301-2fc3-42b9-9d8e-7f90b000f00f,clip,0.6315,0.0,0.5868,0.0,0.2987,0.0371,0.5057
c717f3a6-7b14-4f61-b395-89d63b0c6e73,clip,0.6428,0.0,0.4228,0.0025,0.3598,0.0111,0.4751
4b6b43e4-d3c9-4faf-8ed9-ed1e51754baf,clip,0.7057,0.0,0.7957,0.0,0.7055,0.0,0.7356
6e72fc43-14d2-40a5-863c-62d14dc5facb,clip,0.6986,0.0,0.3914,0.0054,0.586,0.0,0.5587
60c2f1e2-820c-4c10-a873-af1a75d9e4db,clip,0.3244,0.023,0.7444,0.0,0.0485,0.7409,0.3724
0ce7d616-31bd-4eac-99ec-195e0172b4fc,clip,0.9246,0.0,0.355,0.0123,0.2916,0.042,0.5237
3a181f33-846c-43f8-8512-5919ce7088bf,clip,0.8653,0.0,0.6181,0.0,0.7266,0.0,0.7367
67fa11a3-fa1f-4817-a189-87f38daf3011,clip,0.3882,0.0059,0.3012,0.0354,-0.0828,0.5719,0.2022
6518121e-ba08-4e76-aa33-2c2e00598fdd,clip,0.6833,0.0,0.3815,0.0068,0.4538,0.0011,0.5062
dc012abe-5e86-41c4-b740-a9e91a0fe240,clip,0.6209,0.0,-0.0267,0.8555,0.3828,0.0066,0.3257
3b78bd2d-5f55-4480-8637-ccc22c549402,clip,0.7196,0.0,-0.1587,0.276,-0.0395,0.7874,0.1738
9ace2f1e-6a06-45ba-bed9-46ac3b80b038,clip,0.6913,0.0,0.638,0.0,0.5208,0.0001,0.6167
ecd4f0c8-0bb6-4a35-ac36-66588d7d4185,clip,0.9538,0.0,0.8683,0.0,0.9192,0.0,0.9138
69a710fd-f216-43b8-9ec6-8fd324c49690,clip,0.8534,0.0,0.0855,0.5591,-0.0635,0.6648,0.2918
30beeebf-ea67-484f-93a7-2cfd29242fe4,clip,0.6696,0.0,-0.1189,0.4157,-0.3949,0.005,0.0519
6edf17b0-f94a-42d4-b233-4234439deda4,clip,0.6272,0.0,-0.306,0.0325,-0.2103,0.1469,0.0369
c6582a96-d4df-4b5a-8a86-3652687aa1e8,clip,0.8263,0.0,0.8632,0.0,0.8606,0.0,0.85
13f37320-7bb5-4232-9bf2-8f28c57c4582,clip,0.7807,0.0,0.4408,0.0015,0.6617,0.0,0.6278
9e63b44b-6f24-4288-9b27-8626e11bf0a3,clip,0.8022,0.0,0.7471,0.0,0.8039,0.0,0.7844
a2dcde1c-1b2c-4936-ac07-8e912413e23e,clip,0.6493,0.0,0.4319,0.0019,0.3386,0.0173,0.4733
6f5bf0aa-f72d-4e5d-8ac8-bcc1761d0f8a,clip,0.7246,0.0,0.4051,0.0039,0.6056,0.0,0.5784
41388d0a-c0cd-4947-a415-db9ba4893bcd,clip,0.9571,0.0,0.9317,0.0,0.9552,0.0,0.948
4455c508-07a5-483c-a247-92904d635fee,clip,0.9477,0.0,0.922,0.0,0.9478,0.0,0.9391
9e592190-7413-4778-8631-3908e7577661,clip,0.6102,0.0,0.5204,0.0001,0.6106,0.0,0.5804
a6b53f36-7864-4876-a058-7e0be321388b,clip,0.1892,0.1928,0.6432,0.0,0.3193,0.0253,0.3839
5473783d-ba57-45b2-8414-33eb26c36ccf,clip,0.7761,0.0,0.4714,0.0006,0.4989,0.0003,0.5821
89df03ce-b19f-474d-8f36-e9b41be7d3d5,clip,0.8438,0.0,0.6977,0.0,0.766,0.0,0.7692
7d6f190c-4df7-4306-a1e9-b87ed1e3087c,clip,0.9107,0.0,0.8192,0.0,0.9213,0.0,0.8837
ff57c370-a704-49a2-8662-f040dca197df,clip,0.9344,0.0,0.8591,0.0,0.9158,0.0,0.9031
87a16f79-2e21-4b11-93b2-4871169911e7,clip,0.7544,0.0,0.3108,0.0297,0.439,0.0016,0.5014
1880497c-e945-4689-839e-03022a70d7a7,clip,0.7,0.0,0.2922,0.0416,0.4432,0.0014,0.4785
4436f0b0-f4fe-4383-911d-4640c75d9018,clip,0.5235,0.0001,0.5937,0.0,0.739,0.0,0.6187
46718728-a72a-4651-a2dc-d9d39b32ab74,clip,0.7065,0.0,0.6602,0.0,0.7459,0.0,0.7042
87cc957e-bd81-4ea9-8d40-d6d9bce4ec76,clip,0.5564,0.0,0.4922,0.0003,0.325,0.0227,0.4579
2b697bc6-809b-4d92-aa10-10c31472acaa,clip,0.6853,0.0,0.5665,0.0,0.6705,0.0,0.6408
f3dee24e-9af4-4a3e-b21c-ad8bf74510dc,clip,0.546,0.0,0.3669,0.0095,0.4873,0.0004,0.4667
b6aaf31f-d668-4f6e-9d34-c7ecbfa7c8a8,clip,0.8054,0.0,0.196,0.1771,0.1591,0.2749,0.3868
9f2b9f74-faa4-4b54-a4f1-aa65e32cb9f9,clip,0.6458,0.0,0.2491,0.0844,0.4801,0.0005,0.4583
7cd63749-44d8-4024-ac6c-727bde0ae91a,clip,0.2485,0.0852,0.0229,0.8761,0.4296,0.0021,0.2336
dca004c5-3d95-44e6-95ef-8116165e04a3,clip,0.3873,0.006,0.4802,0.0005,0.7344,0.0,0.534
d527b146-00a1-41fb-8671-6114ee9cabb9,clip,0.8027,0.0,0.7993,0.0,0.8178,0.0,0.8066
2fd3e1c4-4980-4f7d-8876-69cd79654a75,clip,0.6458,0.0,0.2491,0.0844,0.4801,0.0005,0.4583
41e6fcd3-a802-4639-a9f3-3943c6b1242a,clip,0.7396,0.0,0.3822,0.0067,0.4202,0.0026,0.514
6a8d47c3-55db-4f2d-b7e0-6c25b6a268c8,clip,0.8205,0.0,0.4341,0.0018,0.4242,0.0024,0.5596
b577985c-6eca-41d4-805c-13fdb8822df8,clip,0.7878,0.0,0.6867,0.0,0.3717,0.0085,0.6154
fdc20e45-b3db-48bd-946b-8969194f3fde,clip,0.0574,0.6952,0.2319,0.1089,0.4083,0.0036,0.2325
9844e1be-1620-44ee-ac68-57ae9d58ab4f,clip,0.8162,0.0,0.6358,0.0,0.6938,0.0,0.7153
eced265e-c274-45b9-9e1d-16ab6fbad9cd,clip,0.4078,0.0036,0.2895,0.0436,0.4958,0.0003,0.3977
a9aa210b-bfa3-4ff6-8c82-3c3e7b4544b5,clip,0.6535,0.0,0.7041,0.0,0.4462,0.0013,0.6013
0c06402c-32eb-4fb0-bd5c-3d8ce5f6e9e2,clip,-0.331,0.0202,0.7192,0.0,-0.0051,0.9722,0.1277
ac9a3d5c-63dd-4fbd-9676-9f913f4029f3,clip,0.499,0.0003,0.6562,0.0,0.6212,0.0,0.5921
520f8c8b-3426-4a8e-affd-07b0c26f954b,clip,0.8389,0.0,-0.0858,0.5577,-0.2604,0.0708,0.1642
d4d631c2-4c15-4f43-b3bb-bd1fe3157b64,clip,0.364,0.0101,0.3546,0.0124,0.5645,0.0,0.4277
0f7abdc3-c885-4d91-bb7d-67f1c607a7d0,clip,0.8812,0.0,0.7825,0.0,0.6829,0.0,0.7822
be330458-bfe8-4b6d-ab4f-0e121faca59d,clip,0.7739,0.0,0.7536,0.0,0.8151,0.0,0.7809
ae89905e-966f-43f0-8c0f-cc4ce1b87ac1,clip,0.715,0.0,0.5951,0.0,0.6893,0.0,0.6665
3156bba1-7c6d-417e-8841-d6319dc7e3af,clip,0.5282,0.0001,-0.021,0.886,0.4143,0.0031,0.3071
dad09341-9891-4f9e-b292-1f834f9fedc4,clip,0.7508,0.0,0.298,0.0376,0.5313,0.0001,0.5267
9e192054-6b30-44b3-841f-785853bfe7e4,clip,0.6101,0.0,0.2273,0.1162,0.4964,0.0003,0.4446
4048bef4-586f-466a-8f53-3a1332979fcd,clip,0.5496,0.0,0.6054,0.0,0.4093,0.0035,0.5215
c62249de-cc8b-43b7-aa90-842dbd8d89e2,clip,0.6271,0.0,0.1523,0.296,0.2207,0.1275,0.3334
6ec6b59a-9126-4462-89ee-df55d996f4ab,clip,0.7571,0.0,0.5992,0.0,0.6334,0.0,0.6632
5c7b7038-b58d-4a21-b867-b7a72612ff55,clip,0.7924,0.0,0.7851,0.0,0.7261,0.0,0.7679
39e397ed-fa8c-40ee-974d-b2f01e397e64,clip,0.7867,0.0,-0.1322,0.365,-0.0619,0.6725,0.1975
a82f3319-8037-44df-bcab-0d39d14590e6,clip,0.7835,0.0,0.6413,0.0,0.5951,0.0,0.6733
3bbeaac4-39d5-449f-b8e0-69a66bbb9400,clip,0.8612,0.0,-0.1137,0.4367,-0.2578,0.0738,0.1633
4e2b3e11-9de8-4bfb-99c2-0bac3f7c7618,clip,0.4145,0.0031,-0.1495,0.3051,0.0846,0.5635,0.1165
e43999fc-df28-41f1-982f-64a51d79acb7,clip,0.7713,0.0,0.6227,0.0,0.4425,0.0015,0.6122
c3a1ddb5-f12f-4806-bda6-4189d38228d7,clip,0.7332,0.0,0.7954,0.0,0.5264,0.0001,0.685
a950d18e-1dbc-46c8-955e-4bbf4f41aadb,clip,0.5542,0.0,0.6894,0.0,0.3298,0.0207,0.5245
2b049977-6bfc-4a19-b59a-c9e2beffab94,clip,0.9054,0.0,0.8922,0.0,0.9109,0.0,0.9028
2329409d-2712-4aa5-96d1-2cd16298f150,clip,0.6309,0.0,0.5736,0.0,0.5061,0.0002,0.5702
a7465e78-a57b-4a6c-bbcf-9214feeafb74,clip,0.8755,0.0,0.7517,0.0,0.7778,0.0,0.8017
fc76de15-b866-4251-af12-bd76901f7c3d,clip,0.7029,0.0,0.2876,0.0451,0.4777,0.0005,0.4894
cedc6039-0f3d-4995-bf1f-eb1cd6590cbf,clip,0.8755,0.0,0.7517,0.0,0.7778,0.0,0.8017
1a2b2bda-ede8-4e7c-99a6-7072401066e6,clip,0.3682,0.0092,0.3526,0.013,0.1256,0.3898,0.2821
fa819613-c07e-4e81-ae2a-6a5fee7b350b,clip,0.4659,0.0007,0.6555,0.0,0.3595,0.0112,0.4936
4efc5850-d150-471b-8188-4f35d3b63b48,clip,0.4162,0.0029,0.5448,0.0001,0.0145,0.921,0.3252
a5ffd0e5-343e-484b-92dc-aa8f00b18e98,clip,0.6795,0.0,0.5565,0.0,0.5693,0.0,0.6018
c67a3887-7cf3-4455-8122-e60eedd643a7,clip,0.4517,0.0011,0.4667,0.0007,0.3428,0.0159,0.4204
0c5aee4c-d9fe-462e-8df1-ef7320c618cb,clip,0.6128,0.0,0.6289,0.0,0.5331,0.0001,0.5916
2272ab97-94b6-4151-9ec6-763f05b0c22c,clip,0.8633,0.0,0.7744,0.0,0.7727,0.0,0.8034
2b514973-2195-4908-8bda-3f958deb8bdb,clip,0.6289,0.0,0.6899,0.0,0.5331,0.0001,0.6173
f7a3dcee-b9cb-4f4b-94b6-617336a4d320,clip,0.6092,0.0,0.6528,0.0,0.8495,0.0,0.7038
fd72fc17-d0df-47fd-9d0c-4e6803e873c0,clip,0.7499,0.0,0.733,0.0,0.5867,0.0,0.6899
e3ddb612-2a9b-4cda-a547-572583a1e202,clip,0.7903,0.0,0.6908,0.0,0.8398,0.0,0.7736
c6f9ae05-ef81-4957-b6f0-7a177580e2d5,clip,0.6386,0.0,0.2132,0.1414,0.2286,0.1142,0.3601
443e4b25-3d4a-40e3-a270-e48c9d37f105,clip,0.7735,0.0,0.8354,0.0,0.8058,0.0,0.8049
e2af3f45-8230-49e5-9fb2-19c8b42b9816,clip,0.7353,0.0,0.5267,0.0001,0.7327,0.0,0.6649
9463f29a-4672-4021-923f-3827ddcfae45,clip,0.821,0.0,0.746,0.0,0.8503,0.0,0.8058
c5fa60a8-7191-498a-8cc9-db07ec48dd86,clip,0.618,0.0,0.1539,0.2911,0.1349,0.3554,0.3022
a48d89f9-3486-46e8-a68c-c47ad537226f,clip,0.7677,0.0,0.6611,0.0,0.6248,0.0,0.6845
468a0a50-3eba-40b2-92b0-5b172fb30c01,clip,0.7445,0.0,0.5185,0.0001,0.4232,0.0025,0.562
f555701d-40c7-4400-9bdc-eda62ace2912,clip,0.6632,0.0,0.6052,0.0,0.2942,0.0402,0.5209
6653f8dd-3fff-48a3-8e29-065917a610b0,clip,0.3843,0.0064,0.4293,0.0021,0.8126,0.0,0.5421
8eafe537-95b2-4e1f-8416-8196d5fd59cb,clip,0.5733,0.0,0.6232,0.0,0.6187,0.0,0.605
7cde7484-09d6-4675-859f-c98293b98f27,clip,0.5217,0.0001,0.6468,0.0,0.6056,0.0,0.5914
b42f7e81-16d7-4b6b-a305-d8e79c5ddf58,clip,0.8966,0.0,0.7048,0.0,0.7289,0.0,0.7768
46f8812b-adca-4161-ae1f-9f6c5600599c,clip,0.4386,0.0016,0.4363,0.0017,0.6172,0.0,0.4974
d97dd49b-2351-46fb-814b-b5f0a72d251e,clip,0.6724,0.0,0.1738,0.2324,0.367,0.0095,0.4044
c8b19f46-371b-46f5-89ca-93b99b2fd6a0,clip,0.8692,0.0,0.4163,0.0029,0.498,0.0003,0.5945
f71472c0-2cb4-475d-9b08-5787585f550e,clip,0.0173,0.9058,0.1828,0.2088,-0.3103,0.03,-0.0367
bff5977b-7901-4d1e-96a1-5c0d19848a0f,clip,0.7678,0.0,0.8156,0.0,0.8071,0.0,0.7968
5880280d-93fc-446b-8079-58300559adda,clip,0.6261,0.0,0.7196,0.0,0.7057,0.0,0.6838
9cddc74e-a74b-4b29-9493-f6bac0aa27ea,clip,0.7235,0.0,0.5565,0.0,0.6039,0.0,0.628
0b04f451-42cf-462b-b983-307e13183f45,clip,0.901,0.0,0.8896,0.0,0.9042,0.0,0.8983
01a1d08a-e2a5-4a81-afb5-9831cddd3e88,clip,0.5407,0.0001,0.4911,0.0003,0.1574,0.2799,0.3964
3d4755c8-3116-45b7-a80f-10c886ec742d,clip,0.5955,0.0,0.2611,0.0699,0.457,0.001,0.4379
1b7870bb-8b83-46e9-bced-5f1f7c45ec19,clip,0.42,0.0027,0.2456,0.0889,0.4018,0.0042,0.3558
9c96c4f7-b755-4960-948b-8c0ea7761880,clip,0.6588,0.0,0.7913,0.0,0.4636,0.0008,0.6379
dc3a53b7-bcd5-4354-93b6-f954b82269e1,clip,0.8086,0.0,0.5189,0.0001,0.419,0.0027,0.5822
3d773278-fed5-46fd-976e-a018441b9190,clip,0.6937,0.0,0.4684,0.0007,0.4024,0.0041,0.5215
0ed35e82-2fa8-46d6-b4e0-629c66728ae8,clip,0.6595,0.0,0.1093,0.4548,0.4168,0.0029,0.3952
22cd2fea-0e59-4662-8146-874abbac1fcf,clip,0.8737,0.0,0.8556,0.0,0.7702,0.0,0.8332
d54dbb9a-94a1-470b-a1d1-12f9f313bb77,clip,0.4728,0.0006,0.106,0.4684,0.6794,0.0,0.4194
535f44c0-e569-40b7-9b05-2ab1ef0f8368,clip,0.7001,0.0,0.2164,0.1353,0.2961,0.0388,0.4042
f8c67c30-7009-4b45-9991-34eae86da207,clip,0.9285,0.0,0.7643,0.0,0.7918,0.0,0.8282
19289618-394a-4b0b-ad8f-ffe2157564aa,clip,0.6451,0.0,0.4259,0.0023,0.6871,0.0,0.586
98eed9b0-5603-4c58-b498-34df83a4d44e,clip,0.9553,0.0,0.9286,0.0,0.9704,0.0,0.9515
139ebae1-b6e8-4a4c-9368-f0bb40c93b7e,clip,0.8221,0.0,0.8577,0.0,0.8176,0.0,0.8324
d4763361-b78a-4ad4-a747-43d7d7d74151,clip,0.6787,0.0,0.3683,0.0092,0.5581,0.0,0.535
0b9aadd7-4769-4584-8fd7-428dfa00fdaf,clip,0.8064,0.0,0.7307,0.0,0.8636,0.0,0.8002
00a46fda-95f7-455b-8bba-e320575b6ea3,clip,0.8041,0.0,0.4308,0.002,0.1612,0.2684,0.4654
79f909c7-d80a-4cab-a96a-0f26f374331c,clip,0.4746,0.0006,-0.0019,0.9895,-0.1391,0.3405,0.1112
75a71390-5aea-4c53-957a-a6e71b746fa3,clip,0.4767,0.0005,0.3417,0.0163,0.0718,0.6239,0.2967
