u_id,model,rho_mean_vs_black,pval_mean_vs_black,rho_mean_vs_noise,pval_mean_vs_noise,rho_black_vs_noise,pval_black_vs_noise,mean_rho
035e6a4b-1414-44d6-8b17-8bac0bb64a42,clip,0.838,0.0,0.778,0.0,0.7707,0.0,0.7956
daef26fc-191a-476a-a883-66c9dad9f963,clip,0.9304,0.0,0.8634,0.0,0.8867,0.0,0.8935
f8d29900-ef57-4a37-93ee-d6596f54b8b0,clip,0.5777,0.0,0.4946,0.0003,0.7638,0.0,0.612
449dd4e6-c146-4c46-a36f-506b0669f056,clip,0.515,0.0002,0.1392,0.3401,0.4039,0.004,0.3527
b6a921ff-8d0c-41e1-8a6a-f9f1068693ee,clip,0.7519,0.0,0.0204,0.8892,-0.0956,0.5133,0.2256
7b652a5a-c293-42d8-9245-c3e1556636c1,clip,0.3226,0.0238,0.3907,0.0055,0.7936,0.0,0.5023
a13fc28b-003a-4e28-8850-905313634459,clip,0.6052,0.0,0.3029,0.0344,0.4505,0.0012,0.4529
693a728d-e9d9-4d50-a6c8-c38a7d8dce35,clip,0.6559,0.0,0.4054,0.0039,0.4068,0.0037,0.4894
843b1217-b7f6-4c73-9d38-0eac63bf6f28,clip,0.7981,0.0,0.5712,0.0,0.5315,0.0001,0.6336
2a57f463-0a45-4852-9a58-acbf91395812,clip,0.5599,0.0,-0.0259,0.86,0.1489,0.3072,0.2276
3fd7af11-b663-486b-a962-16c72d01e706,clip,0.6088,0.0,0.6119,0.0,0.5964,0.0,0.6057
a952f9e8-5281-4661-950e-ffbf264a69f2,clip,0.297,0.0382,0.1126,0.4413,0.3492,0.0139,0.2529
d83a91b8-849b-4f7f-8c8e-168734417cd3,clip,0.6251,0.0,-0.0804,0.583,-0.2301,0.1117,0.1049
ae3e7c2c-7bd7-4086-93d8-14c1f86a3184,clip,0.8116,0.0,0.4029,0.0041,0.6351,0.0,0.6165
03e3c931-426c-454a-a977-1805f7c65f15,clip,0.5842,0.0,0.6042,0.0,0.3074,0.0316,0.4986
2ee2ff8e-8560-4eb9-b869-6ba468258201,clip,0.8277,0.0,0.5811,0.0,0.7393,0.0,0.716
b0cbe990-43cc-45a9-9f98-ab8a0a38fe64,clip,0.2882,0.0447,-0.5206,0.0001,0.2398,0.097,0.0024
ab6ac2e8-bdfc-452f-8119-914e40e8b151,clip,0.6703,0.0,0.7886,0.0,0.455,0.001,0.638
16ff40c1-2e0d-4207-992b-7ff20edf427a,clip,0.5237,0.0001,0.1476,0.3116,-0.1639,0.2606,0.1691
eed6d393-d438-4d10-8782-d5443e9342be,clip,0.8166,0.0,0.1804,0.2148,0.2556,0.0763,0.4176
e46d024b-8bdb-46d2-ad2b-d5dd20831693,clip,0.4546,0.001,-0.1252,0.3913,0.1557,0.2853,0.1617
b6b1e4ca-d9e8-4d54-a292-82c2bf818d3b,clip,0.5115,0.0002,0.5058,0.0002,0.7636,0.0,0.5936
7fa37c8c-5b74-4898-ba37-a0c2933cdb03,clip,0.4514,0.0011,0.323,0.0236,0.4219,0.0025,0.3988
a8e28ea4-0eac-497a-b894-1e682ef66e8e,clip,0.6595,0.0,0.7656,0.0,0.9119,0.0,0.779
39456870-dff9-4521-85a7-8ce1e1156572,clip,0.4118,0.0033,0.1617,0.2671,0.0902,0.5376,0.2212
d501d03b-8677-427a-bd3c-80ef26349cf6,clip,0.8656,0.0,0.5792,0.0,0.4983,0.0003,0.6477
f7c40fe4-ac32-46c5-922c-89e85b650906,clip,0.5496,0.0,0.5289,0.0001,0.3885,0.0058,0.489
1192021a-598b-48bb-be52-9f576e627384,clip,0.6562,0.0,0.4417,0.0015,0.3267,0.0219,0.4749
86ea271d-4352-4963-80a2-96b496b9ab50,clip,0.9214,0.0,0.812,0.0,0.8412,0.0,0.8582
9ade2c60-6dfc-4eaf-bfc4-f317af15ac60,clip,0.5405,0.0001,0.0554,0.7053,0.1622,0.2656,0.2527
ff0bce0b-7179-486e-9d05-9efa37b21512,clip,0.5472,0.0,0.3784,0.0073,0.3563,0.012,0.4273
e6e586b2-3904-40e5-8fcd-0e8201909ad0,clip,0.7713,0.0,-0.065,0.6571,0.1828,0.2088,0.2964
dd47b69e-013f-4997-9504-4d2e8a37342d,clip,0.8109,0.0,0.4367,0.0017,0.4637,0.0008,0.5704
b3d8b8f5-af2a-416e-b0ff-deaa2a94d8e5,clip,-0.2641,0.0667,0.7431,0.0,-0.3039,0.0338,0.0584
82215031-0639-473d-8f9c-7c9de723779d,clip,0.9222,0.0,0.8814,0.0,0.8869,0.0,0.8968
39733d4c-5b90-473a-b873-d62f74e809fa,clip,0.7832,0.0,0.6974,0.0,0.4917,0.0003,0.6574
bcc78c9f-680f-41a8-959a-b71924fe3835,clip,0.9513,0.0,0.4397,0.0016,0.4024,0.0042,0.5978
e3ca3318-1490-4d72-bed8-d9c1813ed430,clip,0.7168,0.0,0.4591,0.0009,0.5678,0.0,0.5812
e59b1cbd-2cfd-428a-b1f4-fba8cbfb08ec,clip,0.8627,0.0,0.6475,0.0,0.5309,0.0001,0.6804
cc3e4687-4fba-4fe1-aeb3-489db832865c,clip,0.2868,0.0457,0.3054,0.0328,0.0587,0.6888,0.217
31e9a0fd-c1ab-4668-a100-e869e7c36d2e,clip,0.7765,0.0,0.6342,0.0,0.7683,0.0,0.7263
535d82e7-8b5f-4ed4-b186-e458ced4fd32,clip,0.783,0.0,0.7301,0.0,0.8577,0.0,0.7903
606aeda1-a002-4666-9cc2-c54b4af0a436,clip,0.5069,0.0002,0.2714,0.0592,0.6812,0.0,0.4865
b44fddf6-9e94-4b2d-92d6-b64b7047f781,clip,-0.2013,0.1654,-0.38,0.0071,0.2747,0.0561,-0.1022
02bd886c-af46-4b28-a3b3-939f0185db11,clip,0.7592,0.0,0.6098,0.0,0.6609,0.0,0.6766
7e4d2b1e-fa75-443c-92e9-b792125002c6,clip,0.7928,0.0,0.6387,0.0,0.7679,0.0,0.7331
8c973562-db40-4319-9dd5-51d83c7f910e,clip,0.7731,0.0,0.4685,0.0007,0.4132,0.0032,0.5516
3f0011f7-0cf3-4ed5-a905-78d71079c3da,clip,0.8324,0.0,0.4247,0.0024,0.4701,0.0007,0.5757
99a8796e-1be0-40dc-9e07-56df08f021e0,clip,0.6255,0.0,0.7786,0.0,0.5587,0.0,0.6543
098b83b9-da89-40a9-a452-bc72698c3740,clip,0.6782,0.0,0.3597,0.0111,0.4127,0.0032,0.4835
ffcd1ddf-ff5a-4f44-90d8-f019b0e5efd1,clip,0.7992,0.0,0.406,0.0038,0.4587,0.0009,0.5546
