model,n_correct,n_wrong,mean_correct,mean_wrong,delta,t_stat,p_value
clip,158,108,0.161,0.1489,0.0121,0.6507,0.5158
llava,99,166,0.1436,0.0967,0.0469,2.6949,0.0075
qwen2vl,161,98,0.0778,0.1602,-0.0823,-4.8279,0.0
internvl2,126,139,0.1062,0.053,0.0532,3.6078,0.0004
