u_id,occ_vs_rollout
1309b373-b885-4aa0-b6f8-7aab4b734ac2,0.4428361461612639
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,0.05919722047350764
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,-0.1927973747437133
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,0.1326538581070851
1bad08e1-1e74-421f-996f-5c435cb367e3,-0.08147883109018134
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,0.0511714639692601
07dabc78-3e60-46e1-b6e4-14c03b083f61,0.14681127429495813
e8417033-3d23-4eb3-b225-e8d68ff8cde3,0.03275816429890658
7469bf5a-e55b-4077-8c23-4f80be8daa32,0.08103431984689323
803df59c-07e6-4459-a5cb-8c2e27237461,-0.25351665292248715
b2886064-331e-4c71-a625-d9d2c5cd9421,0.3722621106232419
f009866e-207b-4ed4-b0d2-150b69a5d0b0,0.3039230530165991
09c667a0-2ed1-425e-8f15-f0d7b510b5ab,-0.031838816090167046
5db4404d-6fd6-4ebd-ad5f-15c8be7344d5,0.1580823817227008
481fa382-ad75-4f6e-bdaa-cdadfbc9f4e5,-0.18789854090796804
a8f5c325-4cc4-4371-bd45-5d19156de028,0.2800819195307956
96037b83-81d6-4de0-ac58-e2ea3f1d0f68,-0.0869510278500138
22bb7d28-bb29-4a85-af25-85f66ce70d52,-0.011985842662377653
4c169dc1-0511-4867-803b-2c5724589072,0.1380407844512268
d6bdefc4-d83f-4df5-a2c0-74ce4bb3dbea,-0.24666225724963944
48cb84ac-f6c8-41d5-a8bd-433790fd4228,-0.23357509646416813
6c905b2d-0ff6-4c21-b0ef-50861a2cc2b5,-0.1710259003664362
bb027c12-2666-421b-a523-4bd7c4c30f20,-0.049036692738028985
3b78bd2d-5f55-4480-8637-ccc22c549402,0.051968711244026425
9e592190-7413-4778-8631-3908e7577661,0.0003044091513997243
a9aa210b-bfa3-4ff6-8c82-3c3e7b4544b5,-0.4368701639187499
0f7abdc3-c885-4d91-bb7d-67f1c607a7d0,-0.17609109401302458
4048bef4-586f-466a-8f53-3a1332979fcd,0.25317269538952986
a5ffd0e5-343e-484b-92dc-aa8f00b18e98,0.16674039699757223
c6f9ae05-ef81-4957-b6f0-7a177580e2d5,0.06524077807616604
6653f8dd-3fff-48a3-8e29-065917a610b0,0.08814410560354298
d97dd49b-2351-46fb-814b-b5f0a72d251e,0.10739295872402695
19289618-394a-4b0b-ad8f-ffe2157564aa,-0.17054467903842407
98eed9b0-5603-4c58-b498-34df83a4d44e,0.09649038924078364
a13fc28b-003a-4e28-8850-905313634459,-0.22853304613186226
3fd7af11-b663-486b-a962-16c72d01e706,0.4385659300815211
82215031-0639-473d-8f9c-7c9de723779d,-0.3093343367452902
