model,n_images,del_auc_ranked_mean,del_auc_random_mean,del_auc_gap_mean,del_auc_gap_std,del_gap_pct_negative,ins_auc_ranked_mean,ins_auc_random_mean,ins_auc_gap_mean,ins_auc_gap_std,ins_gap_pct_positive
clip,266,0.25948,0.36233,-0.10285,0.14024,0.81955,0.50684,0.40683,0.10001,0.12953,0.83083
llava,265,0.21756,0.25224,-0.03468,0.12335,0.59623,0.32044,0.27925,0.04118,0.0982,0.62264
qwen2vl,259,0.28888,0.33266,-0.04377,0.12205,0.6834,0.4145,0.37311,0.04139,0.11604,0.68726
internvl2,265,0.25684,0.28964,-0.0328,0.1146,0.59623,0.34728,0.30913,0.03814,0.11602,0.63019
